,,,,,,,,,,,,
,Rarity,P#,Relics,Bonus Type,Value,Unlocked,Unlocked by,,Total Bonuses,Active,,TOTAL
,2-Epic,16,Controller,Crit Factor,5.0%,TRUE,Earn 700 medals Retro Arcade event,,,,,
,2-Epic,17,Stinger,Crit Factor,5.0%,TRUE,Earn 700 medals Honey event,,,,,
,2-Epic,18,Cheers,Defense Absolute,5.0%,TRUE,Earn 700 medals New Year event,,,,,
,2-Epic,19,Contained Ions,Defense Absolute,5.0%,TRUE,Earn 700 medals Aurora event,,,,,
,2-Epic,20,Creepy Smile,Damage,5.0%,TRUE,Earn 700 medals Dark Strands event,,,,,
,2-Epic,21,Pixel Cube Heart,Health,5.0%,TRUE,Earn 700 medals Retrowave event,,,,,
,2-Epic,22,The Kraken,Defense Absolute,5.0%,TRUE,Earn 700 medals Deep Blue Sea event,,,,,
,2-Epic,23,Alien Warp Drive,Damage / Meter,5.0%,TRUE,Earn 700 medals Aliens event,,,,,
,2-Epic,24,Star Ship,Lab Speed,4.0%,TRUE,Earn 700 medals Faster Than Light event,,,,,
,2-Epic,25,Wave,Crit Factor,5.0%,FALSE,Earn 700 medals Ocean Night event,,,,,
,2-Epic,26,Illuminati,Defense Absolute,5.0%,FALSE,Earn 700 medals Invaders event,,,,,
,2-Epic,27,Prismatic Shard,Damage / Meter,5.0%,TRUE,Earn 700 medals Prismatic Lines event,,,,,
,2-Epic,28,Fish,Defense Absolute,5.0%,FALSE,Earn 700 medals Sunset Fishing event,,,,,
,2-Epic,29,The Fly,Defense Absolute,5.0%,FALSE,Earn 700 medals Cobweb event,,,,,
,2-Epic,30,Flying House,Damage,5.0%,FALSE,Earn 700 medals Eye of the Storm event,,,,,
,2-Epic,31,Code Stream,Damage,5.0%,FALSE,Earn 700 medals Into the Matrix event,,,,,
,2-Epic,32,Cloud Lightning,Crit Factor,5.0%,FALSE,Earn 700 medals Rainfall event,,,,,
,2-Epic,33,Ebola,Defense Absolute,5.0%,FALSE,Earn 700 medals Viral Outbreak (II) event,,,,,
,2-Epic,34,Planetary Rings,Crit Factor,5.0%,TRUE,Earn 700 medals Interstellar event,,,,,
,2-Epic,35,Cathode Ray Tube,Coins,5.0%,TRUE,Earn 700 medals Tower's Channel event,,,,,
,2-Epic,36,Sphinx,Damage,5.0%,FALSE,Earn 700 medals Sands of Time Event,,,,,
,2-Epic,37,Ash Cloud,Defense Absolute,5.0%,FALSE,Earn 700 medals Volcano Event,,,,,
,2-Epic,38,Crop Circle,Crit Factor,5.0%,FALSE,Earn 700 medals Abduction Event,,,,,
,2-Epic,39,Scarf,Defense Absolute,5.0%,FALSE,Earn 700 medals Autumn (II) event,,,,,
,2-Epic,40,Witch Hat,Damage,5.0%,FALSE,Earn 700 medals Halloween (II) event,,,,,
,2-Epic,41,Sleigh Bell,Health,5.0%,FALSE,Earn 700 medals Snowstorm Event,,,,,
,2-Epic,42,Bonsai Tree,Coins,5.0%,FALSE,Earn 700 medals Cherry Blossom (II) event,,,,,
,2-Epic,43,Kimono,Coins,5.0%,FALSE,500 medal Purchase Cherry Blossom (II) event,,,,,
,3-Legendary,1,Champion Badge,Damage / Meter,10.0%,TRUE,Finish P6 in Champion,,,,,
,3-Legendary,2,Tower Master,Health,10.0%,TRUE,Win Champion,,,,,
,3-Legendary,3,T: XI Resonance,Defense Absolute,10.0%,TRUE,Beat w4500 in T11,,,,,
,3-Legendary,4,T: XII Chrono,Lab Speed,10.0%,TRUE,Beat w4500 in T12,,,,,
,3-Legendary,5,T: XIII Hyper,Coins,10.0%,FALSE,Beat w4500 in T13,,,,,
,3-Legendary,6,T: XIV Arcane,Damage,10.0%,FALSE,Beat w4500 in T14,,,,,
,3-Legendary,7,T: XV Celestial,Crit Factor,10.0%,FALSE,Beat w4500 in T15,,,,,
,3-Legendary,8,T: XVI Quantum,Health,10.0%,FALSE,Beat w4500 in T16,,,,,
,3-Legendary,9,T: XVII Nebula,Damage / Meter,10.0%,FALSE,Beat w4500 in T17,,,,,
,3-Legendary,10,T: XVIII Sigularity,Lab Speed,10.0%,FALSE,Beat w4500 in T18,,,,,
